support,itemsets
0.000924918038684994,frozenset({'#2016in4words'})
0.0015368913318039093,frozenset({'#2a'})
0.0005875350917298072,frozenset({'#aleppo'})
0.0007626755350184152,frozenset({'#alternativeacronyminterpretations'})
0.0006207981991760931,frozenset({'#amb'})
0.0006886820919236157,frozenset({'#art'})
0.0006055243233079006,frozenset({'#betteralternativetodebates'})
0.004917848610094267,frozenset({'#blacklivesmatter'})
0.0005546114037472588,frozenset({'#blackskinisnotacrime'})
0.0011547050156353576,frozenset({'#blacktwitter'})
0.0009150748742366032,frozenset({'#blm'})
0.0026610485957028816,frozenset({'#breaking'})
0.0007474016591502227,frozenset({'#brussels'})
0.0037071393829422035,frozenset({'#business'})
0.0019893374769661466,frozenset({'#ccot'})
0.0011642087606200107,frozenset({'#chicago'})
0.0005641151487319119,frozenset({'#childrenthinkthat'})
0.0006275865884508454,frozenset({'#christmasaftermath'})
0.0022846324104178694,frozenset({'#cleveland'})
0.002327738682312546,frozenset({'#crime'})
0.0005213482963009727,frozenset({'#cruzcrew'})
0.0012008660627036729,frozenset({'#demdebate'})
0.0013994264489901763,frozenset({'#demndebate'})
0.0005060744204327802,frozenset({'#deutschland'})
0.0006482911757388398,frozenset({'#donttellanyonebut'})
0.0005535931453560459,frozenset({'#draintheswamp'})
0.0025938435418828344,frozenset({'#entertainment'})
0.0019682934702144146,frozenset({'#environment'})
0.0005413740446614919,frozenset({'#erdogan'})
0.000801369353884503,frozenset({'#fakenews'})
0.000534246235923002,frozenset({'#fergusonremembers'})
0.0008200374243900717,frozenset({'#foke'})
0.0007443468839765841,frozenset({'#giftideasforpoliticians'})
0.000597378256178198,frozenset({'#god'})
0.000655079565013592,frozenset({'#gop'})
0.0013556413381680243,frozenset({'#gopdebate'})
0.003934550423646404,frozenset({'#health'})
0.0006564372428685425,frozenset({'#hillary'})
0.0007905079310448995,frozenset({'#hiphop'})
0.0007429892061216336,frozenset({'#hitech'})
0.0005461259171538184,frozenset({'#howtoloseyourjob'})
0.0008838482835727429,frozenset({'#igetdepressedwhen'})
0.0008719686023419264,frozenset({'#ihatepokemongobecause'})
0.0005020013868679288,frozenset({'#imo'})
0.0005186329405910718,frozenset({'#ineedalawyerbecause'})
0.0005043773231140921,frozenset({'#iraq'})
0.0007399344309479952,frozenset({'#is'})
0.0021960439303823527,frozenset({'#isis'})
0.0013868679288318844,frozenset({'#islamkills'})
0.0007518141121788116,frozenset({'#istartcryingwhen'})
0.0005084503566789435,frozenset({'#itsriskyto'})
0.0006493094341300527,frozenset({'#jugendmitmerkel'})
0.0013956928348890624,frozenset({'#kochfarms'})
0.0013658239220801526,frozenset({'#life'})
0.008855793228378046,frozenset({'#local'})
0.0007579236625260887,frozenset({'#love'})
0.005492146342738307,frozenset({'#maga'})
0.0006143492293650785,frozenset({'#makeamericagreatagain'})
0.0016533122078659103,frozenset({'#mar'})
0.0009201661661926674,frozenset({'#may'})
0.0016214067782745747,frozenset({'#merkel'})
0.001997822963559587,frozenset({'#merkelmussbleiben'})
0.0015623477915842302,frozenset({'#miami'})
0.0006180828434661923,frozenset({'#money'})
0.0006849484778225019,frozenset({'#music'})
0.0009272939749311572,frozenset({'#mustbebanned'})
0.0005182935211273342,frozenset({'#myemmynominationwouldbe'})
0.0006408239475366123,frozenset({'#myolympicsportwouldbe'})
0.0007545294678887125,frozenset({'#neverhillary'})
0.04447786594764047,frozenset({'#news'})
0.0005773525078176788,frozenset({'#nodapl'})
0.0022785228600705923,frozenset({'#nowplaying'})
0.0005026802257954041,frozenset({'#np'})
0.0009809222502017,frozenset({'#obama'})
0.0005359433332416901,frozenset({'#obamanextjob'})
0.0006133309709738657,frozenset({'#obamaswishlist'})
0.0006041666454529502,frozenset({'#oscarhasnocolor'})
0.0009103230017442766,frozenset({'#p2'})
0.004508169317362969,frozenset({'#pjnet'})
0.0008475304009528183,frozenset({'#policebrutality'})
0.013537066472247198,frozenset({'#politics'})
0.0005569873399934221,frozenset({'#prayers4california'})
0.0005362827527054277,frozenset({'#probabletrumpstweets'})
0.000561399793022011,frozenset({'#quote'})
0.0008034058706669287,frozenset({'#rap'})
0.0007158356490226247,frozenset({'#rejecteddebatetopics'})
0.0007708216021481179,frozenset({'#rt'})
0.0007816830249877214,frozenset({'#russia'})
0.0008308988472296754,frozenset({'#sandiego'})
0.00141877335842322,frozenset({'#sanjose'})
0.0006917368670972542,frozenset({'#secondhandgifts'})
0.0008325959445483633,frozenset({'#soundcloud'})
0.016595235840523085,frozenset({'#sports'})
0.0009700608273620964,frozenset({'#staywoke'})
0.0006272471689871079,frozenset({'#stlouis'})
0.0006313202025519591,frozenset({'#stopislam'})
0.0006571160817960177,frozenset({'#stopthegop'})
0.001279611378290799,frozenset({'#syria'})
0.0005702246990791889,frozenset({'#tagderjugend'})
0.005321418352478288,frozenset({'#tcot'})
0.0006370903334354986,frozenset({'#teaparty'})
0.002806998965110055,frozenset({'#tech'})
0.0009300093306410581,frozenset({'#texas'})
0.0005230453936196608,frozenset({'#thingsmoretrustedthanhillary'})
0.0005434105614439175,frozenset({'#thingsthatshouldbecensored'})
0.001053558015441549,frozenset({'#thingsyoucantignore'})
0.0007117626154577733,frozenset({'#toavoidworki'})
0.0011818585727343667,frozenset({'#todolistbeforechristmas'})
0.0006462546589564141,frozenset({'#tofeelbetteri'})
0.0025174741625418715,frozenset({'#top'})
0.0014645949860277979,frozenset({'#topl'})
0.005141865456161091,frozenset({'#topnews'})
0.0022221792290901487,frozenset({'#topvideo'})
0.002448911430866874,frozenset({'#trump'})
0.0009096441628168014,frozenset({'#trump2016'})
0.0006370903334354986,frozenset({'#trumpforpresident'})
0.0010698501497009546,frozenset({'#trumptrain'})
0.0012100303882245885,frozenset({'#turkey'})
0.0009775280555643238,frozenset({'#us'})
0.001249742465481889,frozenset({'#usa'})
0.0005569873399934221,frozenset({'#usda'})
0.0006207981991760931,frozenset({'#usfa'})
0.0005695458601517137,frozenset({'#valentinesdayin3words'})
0.0008068000653043048,frozenset({'#vegasgopdebate'})
0.0015022705465026728,frozenset({'#wakeupamerica'})
0.000528136685575725,frozenset({'#wheniwasyoung'})
0.0007416315282666832,frozenset({'#wisconsin'})
0.009376462685751544,frozenset({'#world'})
0.0036317882619924533,frozenset({'#новости'})
0.0010365870422546684,frozenset({'#пластмассовыйвек'})
0.0007592813403810391,frozenset({'#политика'})
0.0005145599070262205,frozenset({'#путин'})
0.0013267906837503272,frozenset({'#россия'})
0.0009042134513969996,frozenset({'#рф'})
0.0012527972406555276,frozenset({'#спб'})
0.0006109550347277024,frozenset({'#спорт'})
0.0008546582096913082,frozenset({'#сша'})
0.0005362827527054277,frozenset({'#тюмень'})
0.0006106156152639648,frozenset({'#украина'})
0.0010718866664833802,frozenset({'@cnn'})
0.0010155430355029366,frozenset({'@foxnews'})
0.0015728697949600962,frozenset({'@hillaryclinton'})
0.0031080640294453175,frozenset({'@midnight'})
0.0017558168859146692,frozenset({'@potus'})
0.004783099082990435,frozenset({'@realdonaldtrump'})
0.0008387054948956404,frozenset({'@rus_improvisation'})
0.0006465940784201518,frozenset({'@talibkweli'})
0.0005461259171538184,frozenset({'@warfareww'})
0.003043574331335171,frozenset({'@youtube'})
0.0010678136329185287,frozenset({'https://t.co/1kpxto2hfw'})
0.0005400163668065415,frozenset({'https://t.co/8h0lejtvcr'})
0.0011682817941848622,frozenset({'https://t.co/emx9jgtv3v'})
0.0005617392124857486,frozenset({'https://t.co/mfbjijyl05'})
0.0005250819104020865,frozenset({'https://t.co/mj4n1lcxvf.'})
0.000550877789646145,"frozenset({'#tcot', '#2a'})"
0.0006106156152639648,"frozenset({'#brussels', '#islamkills'})"
0.0005844803165561686,"frozenset({'#business', '#news'})"
0.0007239817161523274,"frozenset({'#pjnet', '#ccot'})"
0.0013719334724274295,"frozenset({'#tcot', '#ccot'})"
0.0005396769473428038,"frozenset({'#chicago', '#news'})"
0.0008780781526892034,"frozenset({'#cleveland', '#news'})"
0.0007881319947987362,"frozenset({'#cleveland', '#politics'})"
0.0008998009983684106,"frozenset({'#demndebate', '#demdebate'})"
0.0005580055983846349,"frozenset({'#gopdebate', '#stopthegop'})"
0.0005023408063316665,"frozenset({'#islamkills', '#stopislam'})"
0.0005692064406879761,"frozenset({'#tagderjugend', '#jugendmitmerkel'})"
0.0005827832192374806,"frozenset({'#kochfarms', '#turkey'})"
0.001142146495477066,"frozenset({'#local', '#miami'})"
0.0014282771034078733,"frozenset({'#local', '#news'})"
0.0007922050283635874,"frozenset({'#sandiego', '#local'})"
0.0006068820011628511,"frozenset({'#maga', '#tcot'})"
0.0005702246990791889,"frozenset({'#maga', '#trumptrain'})"
0.0005525748869648331,"frozenset({'#topl', '#may'})"
0.0005288155245032002,"frozenset({'#merkelmussbleiben', '#merkel'})"
0.0005485018533999817,"frozenset({'#news', '#us'})"
0.009334714091711818,"frozenset({'#world', '#news'})"
0.0017408824295102143,"frozenset({'#pjnet', '#tcot'})"
0.0005563085010659468,"frozenset({'#tcot', '#wakeupamerica'})"
0.0005308520412856259,"frozenset({'#политика', '#новости'})"
0.0005980570951056732,"frozenset({'#новости', '#рф'})"
0.0005227059741559232,"frozenset({'#новости', '#тюмень'})"
0.0005586844373121101,"frozenset({'#tcot', '#pjnet', '#ccot'})"
